entity_slug,parent_owner_slug,entity_kind,election_cycle,recipient_party,recipient_office,donations,total_amount
reinsdorf-jerry,,owner,2004,DEM,,10,13283.0
reinsdorf-jerry,,owner,2004,REP,,10,9750.0
reinsdorf-jerry,,owner,2006,,,9,22000.0
reinsdorf-jerry,,owner,2006,DEM,,10,20000.0
reinsdorf-jerry,,owner,2006,DFL,,1,500.0
reinsdorf-jerry,,owner,2006,REP,,5,5600.0
reinsdorf-jerry,,owner,2008,,,7,24600.0
reinsdorf-jerry,,owner,2008,DEM,,13,24100.0
reinsdorf-jerry,,owner,2008,Dem,,1,1000.0
reinsdorf-jerry,,owner,2008,REP,,12,13900.0
reinsdorf-jerry,,owner,2010,,,4,13400.0
reinsdorf-jerry,,owner,2010,DEM,,4,7300.0
reinsdorf-jerry,,owner,2010,REP,,4,6400.0
reinsdorf-jerry,,owner,2012,,,3,15000.0
reinsdorf-jerry,,owner,2012,DEM,,9,14500.0
reinsdorf-jerry,,owner,2012,IND,,1,2500.0
reinsdorf-jerry,,owner,2012,REP,,10,19000.0
reinsdorf-jerry,,owner,2014,DEM,,3,6100.0
reinsdorf-jerry,,owner,2014,REP,,16,34200.0
reinsdorf-jerry,,owner,2016,,,7,21600.0
reinsdorf-jerry,,owner,2016,DEM,,4,8100.0
reinsdorf-jerry,,owner,2016,REP,,16,28800.0
reinsdorf-jerry,,owner,2018,,,13,1226400.0
reinsdorf-jerry,,owner,2018,DEM,,22,64000.0
reinsdorf-jerry,,owner,2018,REP,,35,81800.0
reinsdorf-jerry,,owner,2020,,,16,275900.0
reinsdorf-jerry,,owner,2020,DEM,,13,33500.0
reinsdorf-jerry,,owner,2020,REP,,71,296100.0
reinsdorf-jerry,,owner,2022,,,6,42000.0
reinsdorf-jerry,,owner,2022,DEM,,6,17200.0
reinsdorf-jerry,,owner,2022,IND,,2,5800.0
reinsdorf-jerry,,owner,2022,REP,,7,19900.0
reinsdorf-jerry,,owner,2024,,,8,58200.0
reinsdorf-jerry,,owner,2024,DEM,,2,6600.0
reinsdorf-jerry,,owner,2024,REP,,8,19900.0
reinsdorf-jerry,,owner,2026,,,3,17000.0
reinsdorf-jerry,,owner,2026,DEM,,8,28000.0
reinsdorf-jerry,,owner,2026,REP,,2,7000.0
ricketts-laura,,owner,2004,DEM,,3,750.0
ricketts-laura,,owner,2006,DEM,,7,14900.0
ricketts-laura,,owner,2006,REP,,2,4200.0
ricketts-laura,,owner,2008,,,7,68225.08
ricketts-laura,,owner,2008,DEM,,52,91739.08
ricketts-laura,,owner,2008,DFL,,1,500.0
ricketts-laura,,owner,2010,,,1,9100.0
ricketts-laura,,owner,2010,DEM,,22,89100.0
ricketts-laura,,owner,2012,DEM,,17,150108.08000000002
ricketts-laura,,owner,2014,,,3,12600.0
ricketts-laura,,owner,2014,DEM,,14,80100.0
ricketts-laura,,owner,2016,,,16,471700.0
ricketts-laura,,owner,2016,DEM,,27,112018.39
ricketts-laura,,owner,2018,,,20,436064.1
ricketts-laura,,owner,2018,DEM,,13,16600.0
ricketts-laura,,owner,2020,,,11,231062.47
ricketts-laura,,owner,2020,DEM,,23,44700.0
ricketts-laura,,owner,2022,,,9,292092.67
ricketts-laura,,owner,2022,DEM,,24,307190.3
ricketts-laura,,owner,2024,,,7,217322.37
ricketts-laura,,owner,2024,DEM,,16,318927.48
ricketts-laura,,owner,2026,,,4,275000.0
ricketts-laura,,owner,2026,DEM,,5,12000.0
ricketts-todd,,owner,2010,REP,,8,7200.0
ricketts-todd,,owner,2012,,,1,50000.0
ricketts-todd,,owner,2012,REP,,6,13500.0
ricketts-todd,,owner,2014,,,3,217500.0
ricketts-todd,,owner,2014,REP,,12,31100.0
ricketts-todd,,owner,2016,,,5,15985.0
ricketts-todd,,owner,2016,REP,,15,27000.0
ricketts-todd,,owner,2018,REP,,5,13500.0
ricketts-todd,,owner,2020,,,2,100000.0
ricketts-todd,,owner,2020,REP,,13,105600.0
ricketts-todd,,owner,2022,REP,,5,97200.0
ricketts-todd,,owner,2024,REP,,1,6000.36
ricketts-todd,,owner,2026,,,1,24000.0
ricketts-todd,,owner,2026,REP,,3,107500.0
ricketts-tom,,owner,2006,,,2,4200.0
ricketts-tom,,owner,2006,REP,,5,17300.0
ricketts-tom,,owner,2008,,,2,30000.0
ricketts-tom,,owner,2008,REP,,11,75775.0
ricketts-tom,,owner,2010,,,2,10000.0
ricketts-tom,,owner,2010,REP,,2,2900.0
ricketts-tom,,owner,2012,,,2,10000.0
ricketts-tom,,owner,2014,,,3,10000.0
ricketts-tom,,owner,2016,,,2,10000.0
ricketts-tom,,owner,2016,REP,,1,2700.0
ricketts-tom,,owner,2018,REP,,1,2700.0
ricketts-tom,,owner,2020,,,1,5600.0
ricketts-tom,,owner,2020,REP,,6,16800.0
ricketts-tom,,owner,2022,,,1,2900.0
ricketts-tom,,owner,2022,REP,,2,5800.0
ricketts-tom,,owner,2024,,,4,310700.0
ricketts-tom,,owner,2024,REP,,5,295700.0
ricketts-tom,,owner,2026,,,3,332100.0
ricketts-tom,,owner,2026,REP,,9,331100.0
rubenstein-david,,owner,2008,DEM,,1,6000.0
rubenstein-david,,owner,2026,,,1,5000.0
seidler-john,,owner,2026,,,1,5000.0
sherman-bruce,,owner,2004,REP,,3,27500.0
sherman-bruce,,owner,2006,,,1,1000.0
sherman-bruce,,owner,2010,REP,,4,350.0
sherman-bruce,,owner,2012,,,4,265.0
sherman-bruce,,owner,2012,REP,,6,2915.0
sherman-bruce,,owner,2014,,,10,625.0
sherman-bruce,,owner,2014,REP,,7,475.0
sherman-bruce,,owner,2016,,,3,500000.0
sherman-bruce,,owner,2016,DEM,,1,2700.0
sherman-bruce,,owner,2016,REP,,1,2700.0
sherman-bruce,,owner,2018,,,2,7700.0
sherman-bruce,,owner,2018,REP,,1,2700.0
sherman-bruce,,owner,2020,,,1,5000.0
sherman-bruce,,owner,2020,DEM,,1,1000.0
sherman-bruce,,owner,2022,,,2,10000.0
sherman-bruce,,owner,2022,DEM,,1,1000.0
sherman-bruce,,owner,2024,,,3,10048.93
sherman-bruce,,owner,2026,,,4,65000.0
sherman-bruce,,owner,2026,REP,,3,45000.0
sherman-john,,owner,2008,REP,,2,4600.0
sherman-john,,owner,2012,,,1,10000.0
sherman-john,,owner,2012,DEM,,3,15000.0
sherman-john,,owner,2012,REP,,1,2500.0
sherman-john,,owner,2014,REP,,1,2500.0
sherman-john,,owner,2016,,,2,12700.0
sherman-john,,owner,2016,DEM,,6,19100.0
sherman-john,,owner,2018,,,2,22700.0
sherman-john,,owner,2018,DEM,,7,33500.0
sherman-john,,owner,2020,,,1,5000.0
sherman-john,,owner,2022,,,1,5000.0
sherman-john,,owner,2022,DEM,,2,5800.0
sherman-john,,owner,2024,,,1,3300.0
sherman-john,,owner,2024,DEM,,3,9900.0
simpson-bob,,owner,2012,,,1,50000.0
simpson-bob,,owner,2012,REP,,7,50000.0
stanton-john,,owner,2000,,,2,10000.0
stanton-john,,owner,2000,REP,,1,1000.0
stanton-john,,owner,2002,,,10,33000.0
stanton-john,,owner,2002,DEM,,2,2000.0
stanton-john,,owner,2002,REP,,3,6800.0
stanton-john,,owner,2004,,,5,21000.0
stanton-john,,owner,2004,REP,,23,57821.2
stanton-john,,owner,2004,Rep,,1,268.2
stanton-john,,owner,2006,,,6,41350.0
stanton-john,,owner,2006,DEM,,2,4200.0
stanton-john,,owner,2006,REP,,15,50800.0
stanton-john,,owner,2008,,,4,9100.0
stanton-john,,owner,2008,DEM,,2,4600.0
stanton-john,,owner,2008,REP,,10,13800.0
stanton-john,,owner,2010,,,3,9500.0
stanton-john,,owner,2010,,H,1,4800.0
stanton-john,,owner,2010,DEM,,3,5000.0
stanton-john,,owner,2010,REP,,8,21600.0
stanton-john,,owner,2012,,,4,55000.0
stanton-john,,owner,2012,REP,,14,64500.0
stanton-john,,owner,2014,,,3,25000.0
stanton-john,,owner,2014,REP,,6,12400.0
stanton-john,,owner,2016,,,2,5000.0
stanton-john,,owner,2016,DEM,,1,1000.0
stanton-john,,owner,2018,,,2,10000.0
stanton-john,,owner,2018,DEM,,1,2700.0
stanton-john,,owner,2018,REP,,3,9700.0
stanton-john,,owner,2020,,,1,5000.0
stanton-john,,owner,2020,DEM,,1,1000.0
stanton-john,,owner,2020,REP,,1,1000.0
stanton-john,,owner,2022,,,2,10800.0
stanton-john,,owner,2022,REP,,5,12600.0
stanton-john,,owner,2024,,,2,6001.0
stanton-john,,owner,2024,DEM,,3,6600.0
stanton-john,,owner,2024,REP,,4,9301.0
stanton-john,,owner,2026,,,2,10000.0
stanton-john,,owner,2026,REP,,2,50000.0
steinbrenner-hal,,owner,2008,,,1,12300.0
steinbrenner-hal,,owner,2008,REP,,3,12300.0
steinbrenner-hal,,owner,2010,,,2,10000.0
steinbrenner-hal,,owner,2010,DEM,,3,7200.0
steinbrenner-hal,,owner,2012,,,1,5000.0
steinbrenner-hal,,owner,2014,,,2,10000.0
steinbrenner-hal,,owner,2020,,,1,5000.0
steinbrenner-hal,,owner,2022,,,1,5000.0
steinbrenner-hal,,owner,2026,,,1,5000.0
steinbrenner-jessica,,owner,2004,REP,,1,1000.0
steinbrenner-jessica,,owner,2026,,,1,5000.0
steinbrenner-jessica,,owner,2026,REP,,2,5000.0
walter-mark,,owner,2012,,,2,40800.0
walter-mark,,owner,2012,DEM,,3,35800.0
walter-mark,,owner,2014,,,3,25000.0
walter-mark,,owner,2014,DEM,,2,15000.0
walter-mark,,owner,2016,,,2,10000.0
walter-mark,,owner,2018,,,2,10000.0
walter-mark,,owner,2020,,,1,5000.0
walter-mark,,owner,2022,,,2,10000.0
walter-mark,,owner,2024,,,2,10000.0
walter-mark,,owner,2026,,,2,10000.0
zalupski-patrick,,owner,2012,,,1,500.0
zalupski-patrick,,owner,2012,REP,,1,500.0
zalupski-patrick,,owner,2014,REP,,1,500.0
zalupski-patrick,,owner,2016,REP,,2,2000.0
zalupski-patrick,,owner,2020,REP,,1,500.0
zalupski-patrick,,owner,2024,,,2,11600.0
zalupski-patrick,,owner,2024,REP,,7,18200.0
zalupski-patrick,,owner,2026,REP,,3,5264.0
