entity_slug,parent_owner_slug,entity_kind,election_cycle,recipient_party,recipient_office,donations,total_amount
crane-jim,,owner,2022,REP,,1,2000.0
crane-jim,,owner,2024,,,3,35000.0
crane-jim,,owner,2024,DEM,,3,25000.0
crane-jim,,owner,2026,,,2,10000.0
davis-ray,,owner,2008,REP,,2,7300.0
davis-ray,,owner,2010,,,2,4800.0
davis-ray,,owner,2010,REP,,2,4800.0
davis-ray,,owner,2012,,,1,1000.0
davis-ray,,owner,2012,REP,,7,14900.0
davis-ray,,owner,2014,,,3,8000.0
davis-ray,,owner,2014,REP,,2,5000.0
davis-ray,,owner,2016,,,2,102000.0
davis-ray,,owner,2016,REP,,3,8100.0
davis-ray,,owner,2018,,,4,19600.0
davis-ray,,owner,2018,REP,,11,35800.0
davis-ray,,owner,2020,,,1,1000.0
davis-ray,,owner,2020,REP,,11,34900.0
davis-ray,,owner,2022,,,1,1000.0
davis-ray,,owner,2022,REP,,2,5000.0
davis-ray,,owner,2024,,,7,430900.0
davis-ray,,owner,2024,REP,,8,408900.0
davis-ray,,owner,2026,,,3,11000.0
davis-ray,,owner,2026,REP,,1,7500.0
dewitt-bill,,owner,2000,,,10,190300.0
dewitt-bill,,owner,2000,REP,,5,22000.0
dewitt-bill,,owner,2002,,,8,40500.0
dewitt-bill,,owner,2002,REP,,4,4000.0
dewitt-bill,,owner,2004,,,3,7000.0
dewitt-bill,,owner,2004,REP,,16,39024.0
dewitt-bill,,owner,2004,Rep,,1,562.5
dewitt-bill,,owner,2006,,,7,20200.0
dewitt-bill,,owner,2006,REP,,9,38700.0
dewitt-bill,,owner,2006,rep,,1,5000.0
dewitt-bill,,owner,2008,,,4,40000.0
dewitt-bill,,owner,2008,REP,,19,55700.0
dewitt-bill,,owner,2010,,,7,30800.0
dewitt-bill,,owner,2010,REP,,5,16250.0
dewitt-bill,,owner,2012,,,8,90250.0
dewitt-bill,,owner,2012,REP,,19,87250.0
dewitt-bill,,owner,2014,,,6,37500.0
dewitt-bill,,owner,2014,REP,,10,58650.0
dewitt-bill,,owner,2016,,,11,59075.0
dewitt-bill,,owner,2016,REP,,13,56575.0
dewitt-bill,,owner,2018,,,5,22000.0
dewitt-bill,,owner,2018,DEM,,1,1000.0
dewitt-bill,,owner,2018,REP,,6,13250.0
dewitt-bill,,owner,2020,,,7,31400.0
dewitt-bill,,owner,2020,REP,,12,23800.0
dewitt-bill,,owner,2022,,,8,45000.0
dewitt-bill,,owner,2022,REP,,5,13500.0
dewitt-bill,,owner,2024,,,7,29000.0
dewitt-bill,,owner,2024,IND,,3,5000.0
dewitt-bill,,owner,2024,REP,,4,7000.0
dewitt-bill,,owner,2026,,,5,18500.0
dewitt-bill,,owner,2026,REP,,4,4000.0
dolan-paul,,owner,2004,,,2,3500.0
dolan-paul,,owner,2004,DEM,,1,1000.0
dolan-paul,,owner,2006,,,1,1100.0
dolan-paul,,owner,2006,REP,,2,2000.0
dolan-paul,,owner,2008,,,1,1000.0
dolan-paul,,owner,2008,DEM,,3,2250.0
dolan-paul,,owner,2008,REP,,1,10000.0
dolan-paul,,owner,2010,,,3,6406.0
dolan-paul,,owner,2010,DEM,,3,1000.0
dolan-paul,,owner,2010,REP,,1,500.0
dolan-paul,,owner,2012,,,1,5000.0
dolan-paul,,owner,2012,REP,,3,5000.0
dolan-paul,,owner,2014,,,4,13500.0
dolan-paul,,owner,2014,DEM,,2,2000.0
dolan-paul,,owner,2014,REP,,2,3600.0
dolan-paul,,owner,2016,,,7,23900.0
dolan-paul,,owner,2016,DEM,,6,2000.0
dolan-paul,,owner,2016,REP,,4,11000.0
dolan-paul,,owner,2018,,,3,11000.0
dolan-paul,,owner,2018,DEM,,1,1000.0
dolan-paul,,owner,2018,REP,,2,6000.0
dolan-paul,,owner,2020,,,2,7500.0
dolan-paul,,owner,2020,REP,,2,3800.0
dolan-paul,,owner,2022,,,3,12900.0
dolan-paul,,owner,2022,REP,,3,8700.0
dolan-paul,,owner,2024,,,2,10000.0
dolan-paul,,owner,2024,REP,,2,6600.0
dolan-paul,,owner,2026,,,2,10000.0
dolan-paul,,owner,2026,REP,,1,3500.0
feliciano-jose,,owner,2020,DEM,,1,2800.0
feliciano-jose,,owner,2022,DEM,,2,5800.0
feliciano-jose,,owner,2024,,,2,413300.0
feliciano-jose,,owner,2024,DEM,,12,663300.0
feliciano-jose,,owner,2026,,,2,17000.0
feliciano-jose,,owner,2026,DEM,,5,14000.0
fisher-john,,owner,2000,,,1,1000.0
fisher-john,,owner,2000,REP,,3,4000.0
fisher-john,,owner,2002,,,1,5000.0
fisher-john,,owner,2002,REP,,3,7000.0
fisher-john,,owner,2004,,,5,19500.0
fisher-john,,owner,2004,REP,,15,56250.0
fisher-john,,owner,2006,,,5,18100.0
fisher-john,,owner,2006,DEM,,5,5100.0
fisher-john,,owner,2006,REP,,17,24000.0
fisher-john,,owner,2008,,,8,19200.0
fisher-john,,owner,2008,DEM,,5,35100.0
fisher-john,,owner,2008,REP,,30,67400.0
fisher-john,,owner,2010,,,12,46600.0
fisher-john,,owner,2010,DEM,,3,5300.0
fisher-john,,owner,2010,REP,,19,63100.0
fisher-john,,owner,2012,,,10,75000.0
fisher-john,,owner,2012,DEM,,9,35099.0
fisher-john,,owner,2012,REP,,21,78800.0
fisher-john,,owner,2014,,,16,154200.0
fisher-john,,owner,2014,DEM,,5,10550.0
fisher-john,,owner,2014,REP,,48,268600.0
fisher-john,,owner,2016,,,23,632800.0
fisher-john,,owner,2016,DEM,,8,21600.0
fisher-john,,owner,2016,REP,,62,681500.0
fisher-john,,owner,2018,,,16,322600.0
fisher-john,,owner,2018,DEM,,14,40500.0
fisher-john,,owner,2018,REP,,50,409200.0
fisher-john,,owner,2020,,,5,25000.0
fisher-john,,owner,2020,DEM,,10,27900.0
fisher-john,,owner,2020,REP,,6,15000.0
fisher-john,,owner,2022,,,10,41600.0
fisher-john,,owner,2022,DEM,,9,25300.0
fisher-john,,owner,2022,REP,,11,31900.0
fisher-john,,owner,2024,,,16,119600.0
fisher-john,,owner,2024,DEM,,18,54800.0
fisher-john,,owner,2024,IND,,1,3300.0
fisher-john,,owner,2024,REP,,27,68900.0
fisher-john,,owner,2026,,,11,41200.0
fisher-john,,owner,2026,DEM,,7,17000.0
fisher-john,,owner,2026,REP,,24,46900.0
henry-john,,owner,2000,,,1,100000.0
henry-john,,owner,2002,,,2,100000.0
henry-john,,owner,2002,DEM,,2,6000.0
henry-john,,owner,2002,REP,,1,1000.0
henry-john,,owner,2004,,,2,10000.0
henry-john,,owner,2004,DEM,,6,92250.0
henry-john,,owner,2018,REP,,1,2700.0
ilitch-chris,,owner,2002,,,1,1000.0
ilitch-chris,,owner,2004,REP,,4,7000.0
ilitch-chris,,owner,2006,,,3,9200.0
ilitch-chris,,owner,2006,REP,,3,29000.0
ilitch-chris,,owner,2008,DEM,,2,4600.0
ilitch-chris,,owner,2008,REP,,1,2300.0
ilitch-chris,,owner,2010,DEM,,1,2400.0
ilitch-chris,,owner,2014,REP,,3,5200.0
ilitch-chris,,owner,2018,,,1,5000.0
ilitch-chris,,owner,2020,,,1,5000.0
ilitch-chris,,owner,2022,,,2,10000.0
ilitch-chris,,owner,2024,,,2,10000.0
ilitch-chris,,owner,2026,,,1,5000.0
johnson-charles,,owner,2000,,,2,12000.0
johnson-charles,,owner,2000,REP,,2,6000.0
johnson-charles,,owner,2002,,,4,36206.0
johnson-charles,,owner,2004,,,4,42625.0
johnson-charles,,owner,2004,REP,,11,58827.5
johnson-charles,,owner,2004,REP,H,1,1125.0
johnson-charles,,owner,2006,,,8,50000.0
