entity_slug,parent_owner_slug,entity_kind,status,election_cycle,recipient_party,recipient_office,donations,total_amount
castellini-phil,,owner,CONFIRMED,2006,,,3,6200.0
castellini-phil,,owner,CONFIRMED,2006,REP,,4,4000.0
castellini-phil,,owner,CONFIRMED,2008,,,2,4100.0
castellini-phil,,owner,CONFIRMED,2008,REP,,2,4600.0
castellini-phil,,owner,CONFIRMED,2010,,,2,7400.0
castellini-phil,,owner,CONFIRMED,2010,REP,,1,2600.0
castellini-phil,,owner,CONFIRMED,2012,,,1,20000.0
castellini-phil,,owner,CONFIRMED,2012,REP,,3,22500.0
castellini-phil,,owner,CONFIRMED,2014,REP,,2,5400.0
castellini-phil,,owner,CONFIRMED,2016,,,4,8100.0
castellini-phil,,owner,CONFIRMED,2020,REP,,2,27500.0
cohen-steven,,owner,CONFIRMED,2004,REP,,1,2000.0
cohen-steven,,owner,PROBABLE,2004,DEM,,1,2000.0
cohen-steven,,owner,PROBABLE,2004,REP,,1,2000.0
cohen-steven,,owner,CONFIRMED,2006,,,1,5000.0
cohen-steven,,owner,CONFIRMED,2006,DEM,,9,57450.0
cohen-steven,,owner,CONFIRMED,2008,,,1,5000.0
cohen-steven,,owner,CONFIRMED,2008,DEM,,7,42300.0
cohen-steven,,owner,CONFIRMED,2008,REP,,7,40000.0
cohen-steven,,owner,PROBABLE,2008,,,3,6900.0
cohen-steven,,owner,PROBABLE,2008,DEM,,1,250.0
cohen-steven,,owner,CONFIRMED,2010,,,12,57000.0
cohen-steven,,owner,CONFIRMED,2010,REP,,15,58800.0
cohen-steven,,owner,PROBABLE,2010,DEM,,1,2400.0
cohen-steven,,owner,CONFIRMED,2012,,,1,5000.0
cohen-steven,,owner,CONFIRMED,2012,DEM,,1,2500.0
cohen-steven,,owner,CONFIRMED,2012,REP,,1,30800.0
cohen-steven,,owner,CONFIRMED,2016,,,12,3656900.0
cohen-steven,,owner,CONFIRMED,2016,DEM,,1,500.0
cohen-steven,,owner,CONFIRMED,2016,REP,,5,41500.0
cohen-steven,,owner,CONFIRMED,2018,,,9,3260400.0
cohen-steven,,owner,CONFIRMED,2018,REP,,22,507000.0
cohen-steven,,owner,CONFIRMED,2022,,,3,15000.0
cohen-steven,,owner,CONFIRMED,2022,DEM,,2,5800.0
cohen-steven,,owner,CONFIRMED,2024,,,3,160000.0
cohen-steven,,owner,CONFIRMED,2024,DEM,,4,156600.0
cohen-steven,,owner,PROBABLE,2024,,,1,1000.0
cohen-steven,,owner,PROBABLE,2024,REP,,1,1000.0
cohen-steven,,owner,CONFIRMED,2026,,,5,39000.0
cohen-steven,,owner,CONFIRMED,2026,DEM,,2,7000.0
crane-jim,,owner,PROBABLE,2000,REP,,1,5000.0
crane-jim,,owner,PROBABLE,2002,DEM,,1,1000.0
crane-jim,,owner,CONFIRMED,2008,DEM,,2,3300.0
crane-jim,,owner,CONFIRMED,2010,DEM,,3,5600.0
crane-jim,,owner,CONFIRMED,2012,,,3,45800.0
crane-jim,,owner,CONFIRMED,2012,DEM,,3,35800.0
crane-jim,,owner,CONFIRMED,2014,,,3,42400.0
crane-jim,,owner,CONFIRMED,2014,DEM,,2,32400.0
crane-jim,,owner,CONFIRMED,2016,,,2,10000.0
crane-jim,,owner,CONFIRMED,2016,DEM,,2,10000.0
crane-jim,,owner,CONFIRMED,2018,,,2,10000.0
crane-jim,,owner,CONFIRMED,2018,DEM,,3,2700.0
crane-jim,,owner,CONFIRMED,2020,,,1,5000.0
crane-jim,,owner,CONFIRMED,2022,REP,,1,2000.0
crane-jim,,owner,CONFIRMED,2024,,,3,35000.0
crane-jim,,owner,CONFIRMED,2024,DEM,,3,25000.0
crane-jim,,owner,CONFIRMED,2026,,,2,10000.0
davis-ray,,owner,CONFIRMED,2008,REP,,2,7300.0
davis-ray,,owner,CONFIRMED,2010,,,2,4800.0
davis-ray,,owner,CONFIRMED,2010,REP,,2,4800.0
davis-ray,,owner,CONFIRMED,2012,,,1,1000.0
davis-ray,,owner,CONFIRMED,2012,REP,,7,14900.0
davis-ray,,owner,CONFIRMED,2014,,,3,8000.0
davis-ray,,owner,CONFIRMED,2014,REP,,2,5000.0
davis-ray,,owner,PROBABLE,2014,,,3,15.0
davis-ray,,owner,CONFIRMED,2016,,,2,102000.0
davis-ray,,owner,CONFIRMED,2016,REP,,3,8100.0
davis-ray,,owner,PROBABLE,2016,,,1,5.0
davis-ray,,owner,CONFIRMED,2018,,,4,19600.0
davis-ray,,owner,CONFIRMED,2018,REP,,11,35800.0
davis-ray,,owner,PROBABLE,2018,,,2,6.0
davis-ray,,owner,PROBABLE,2018,DEM,,2,505.0
davis-ray,,owner,CONFIRMED,2020,,,1,1000.0
davis-ray,,owner,CONFIRMED,2020,REP,,10,24900.0
davis-ray,,owner,PROBABLE,2020,,,1,5.0
davis-ray,,owner,CONFIRMED,2022,,,1,1000.0
davis-ray,,owner,CONFIRMED,2022,REP,,2,5000.0
davis-ray,,owner,CONFIRMED,2024,,,7,430900.0
davis-ray,,owner,CONFIRMED,2024,REP,,8,408900.0
davis-ray,,owner,CONFIRMED,2026,,,3,11000.0
dewitt-bill,,owner,CONFIRMED,2000,,,10,190300.0
dewitt-bill,,owner,CONFIRMED,2000,REP,,5,22000.0
dewitt-bill,,owner,CONFIRMED,2002,,,8,40500.0
dewitt-bill,,owner,CONFIRMED,2002,REP,,4,4000.0
dewitt-bill,,owner,CONFIRMED,2004,,,3,7000.0
dewitt-bill,,owner,CONFIRMED,2004,REP,,16,39024.0
dewitt-bill,,owner,CONFIRMED,2004,Rep,,1,562.5
dewitt-bill,,owner,CONFIRMED,2006,,,7,20200.0
dewitt-bill,,owner,CONFIRMED,2006,REP,,9,38700.0
dewitt-bill,,owner,CONFIRMED,2006,rep,,1,5000.0
dewitt-bill,,owner,PROBABLE,2006,REP,,1,2000.0
dewitt-bill,,owner,CONFIRMED,2008,,,4,40000.0
dewitt-bill,,owner,CONFIRMED,2008,REP,,18,53400.0
dewitt-bill,,owner,CONFIRMED,2010,,,7,30800.0
dewitt-bill,,owner,CONFIRMED,2010,REP,,5,16250.0
dewitt-bill,,owner,PROBABLE,2010,,,1,2400.0
dewitt-bill,,owner,PROBABLE,2010,NNE,,1,1000.0
dewitt-bill,,owner,PROBABLE,2010,REP,,2,3400.0
dewitt-bill,,owner,CONFIRMED,2012,,,8,90250.0
dewitt-bill,,owner,CONFIRMED,2012,REP,,19,87250.0
dewitt-bill,,owner,CONFIRMED,2014,,,6,37500.0
dewitt-bill,,owner,CONFIRMED,2014,REP,,10,58650.0
dewitt-bill,,owner,CONFIRMED,2016,,,11,59075.0
dewitt-bill,,owner,CONFIRMED,2016,REP,,13,56575.0
dewitt-bill,,owner,CONFIRMED,2018,,,5,22000.0
dewitt-bill,,owner,CONFIRMED,2018,DEM,,1,1000.0
dewitt-bill,,owner,CONFIRMED,2018,REP,,6,13250.0
dewitt-bill,,owner,CONFIRMED,2020,,,6,26400.0
dewitt-bill,,owner,CONFIRMED,2020,REP,,12,23800.0
dewitt-bill,,owner,PROBABLE,2020,REP,,1,500.0
dewitt-bill,,owner,CONFIRMED,2022,,,8,45000.0
dewitt-bill,,owner,CONFIRMED,2022,REP,,5,13500.0
dewitt-bill,,owner,CONFIRMED,2024,,,7,29000.0
dewitt-bill,,owner,CONFIRMED,2024,IND,,3,5000.0
dewitt-bill,,owner,CONFIRMED,2024,REP,,4,7000.0
dewitt-bill,,owner,CONFIRMED,2026,,,4,16000.0
dewitt-bill,,owner,CONFIRMED,2026,REP,,4,4000.0
dolan-paul,,owner,CONFIRMED,2004,,,2,3500.0
dolan-paul,,owner,CONFIRMED,2004,DEM,,1,1000.0
dolan-paul,,owner,CONFIRMED,2006,,,1,1100.0
dolan-paul,,owner,CONFIRMED,2006,REP,,2,2000.0
dolan-paul,,owner,CONFIRMED,2008,,,1,1000.0
dolan-paul,,owner,CONFIRMED,2008,DEM,,3,2250.0
dolan-paul,,owner,CONFIRMED,2008,REP,,1,10000.0
dolan-paul,,owner,CONFIRMED,2010,,,3,6406.0
dolan-paul,,owner,CONFIRMED,2010,DEM,,3,1000.0
dolan-paul,,owner,CONFIRMED,2010,REP,,1,500.0
dolan-paul,,owner,CONFIRMED,2012,,,1,5000.0
dolan-paul,,owner,CONFIRMED,2012,REP,,3,5000.0
dolan-paul,,owner,CONFIRMED,2014,,,4,13500.0
dolan-paul,,owner,CONFIRMED,2014,DEM,,2,2000.0
dolan-paul,,owner,CONFIRMED,2014,REP,,2,3600.0
dolan-paul,,owner,CONFIRMED,2016,,,7,23900.0
dolan-paul,,owner,CONFIRMED,2016,DEM,,6,2000.0
dolan-paul,,owner,CONFIRMED,2016,REP,,4,11000.0
dolan-paul,,owner,CONFIRMED,2018,,,3,11000.0
dolan-paul,,owner,CONFIRMED,2018,DEM,,1,1000.0
dolan-paul,,owner,CONFIRMED,2018,REP,,2,6000.0
dolan-paul,,owner,CONFIRMED,2020,,,2,7500.0
dolan-paul,,owner,CONFIRMED,2020,REP,,2,3800.0
dolan-paul,,owner,CONFIRMED,2022,,,3,12900.0
dolan-paul,,owner,CONFIRMED,2022,REP,,2,5800.0
dolan-paul,,owner,CONFIRMED,2024,,,2,10000.0
dolan-paul,,owner,CONFIRMED,2024,REP,,2,6600.0
dolan-paul,,owner,CONFIRMED,2026,,,2,10000.0
feliciano-jose,,owner,PROBABLE,2004,DEM,,1,250.0
feliciano-jose,,owner,CONFIRMED,2020,DEM,,1,2800.0
feliciano-jose,,owner,CONFIRMED,2024,,,2,413300.0
feliciano-jose,,owner,CONFIRMED,2024,DEM,,12,663300.0
feliciano-jose,,owner,CONFIRMED,2026,,,1,12000.0
feliciano-jose,,owner,CONFIRMED,2026,DEM,,3,7000.0
fisher-john,,owner,CONFIRMED,2000,,,1,1000.0
fisher-john,,owner,CONFIRMED,2000,REP,,3,4000.0
fisher-john,,owner,CONFIRMED,2002,,,1,5000.0
fisher-john,,owner,CONFIRMED,2002,REP,,3,7000.0
fisher-john,,owner,CONFIRMED,2004,,,5,19500.0
fisher-john,,owner,CONFIRMED,2004,REP,,15,56250.0
fisher-john,,owner,CONFIRMED,2006,,,5,18100.0
fisher-john,,owner,CONFIRMED,2006,DEM,,5,5100.0
fisher-john,,owner,CONFIRMED,2006,REP,,16,23000.0
fisher-john,,owner,CONFIRMED,2008,,,8,19200.0
fisher-john,,owner,CONFIRMED,2008,DEM,,5,35100.0
fisher-john,,owner,CONFIRMED,2008,REP,,30,67400.0
fisher-john,,owner,CONFIRMED,2010,,,11,41600.0
fisher-john,,owner,CONFIRMED,2010,DEM,,3,5300.0
fisher-john,,owner,CONFIRMED,2010,REP,,19,63100.0
fisher-john,,owner,CONFIRMED,2012,,,10,75000.0
fisher-john,,owner,CONFIRMED,2012,DEM,,9,35099.0
fisher-john,,owner,CONFIRMED,2012,REP,,21,78800.0
fisher-john,,owner,CONFIRMED,2014,,,16,154200.0
fisher-john,,owner,CONFIRMED,2014,DEM,,5,10550.0
fisher-john,,owner,CONFIRMED,2014,REP,,48,268600.0
fisher-john,,owner,CONFIRMED,2016,,,23,632800.0
fisher-john,,owner,CONFIRMED,2016,DEM,,8,21600.0
fisher-john,,owner,CONFIRMED,2016,REP,,62,681500.0
fisher-john,,owner,CONFIRMED,2018,,,16,322600.0
fisher-john,,owner,CONFIRMED,2018,DEM,,14,40500.0
fisher-john,,owner,CONFIRMED,2018,REP,,49,408100.0
fisher-john,,owner,CONFIRMED,2020,,,5,25000.0
fisher-john,,owner,CONFIRMED,2020,DEM,,10,27900.0
fisher-john,,owner,CONFIRMED,2020,REP,,6,15000.0
fisher-john,,owner,CONFIRMED,2022,,,10,41600.0
fisher-john,,owner,CONFIRMED,2022,DEM,,9,25300.0
fisher-john,,owner,CONFIRMED,2022,REP,,11,31900.0
fisher-john,,owner,CONFIRMED,2024,,,14,87200.0
fisher-john,,owner,CONFIRMED,2024,DEM,,18,54800.0
fisher-john,,owner,CONFIRMED,2024,IND,,1,3300.0
fisher-john,,owner,CONFIRMED,2024,REP,,27,68900.0
fisher-john,,owner,CONFIRMED,2026,,,11,41200.0
fisher-john,,owner,CONFIRMED,2026,DEM,,7,17000.0
fisher-john,,owner,CONFIRMED,2026,REP,,24,46900.0
henry-john,,owner,CONFIRMED,2000,,,1,100000.0
henry-john,,owner,CONFIRMED,2002,,,2,100000.0
henry-john,,owner,CONFIRMED,2002,DEM,,2,6000.0
henry-john,,owner,CONFIRMED,2002,REP,,1,1000.0
henry-john,,owner,CONFIRMED,2004,,,2,10000.0
henry-john,,owner,CONFIRMED,2004,DEM,,6,92250.0
henry-john,,owner,PROBABLE,2004,DEM,,3,16250.0
henry-john,,owner,CONFIRMED,2018,REP,,1,2700.0
ilitch-chris,,owner,CONFIRMED,2008,REP,,1,2300.0
ilitch-chris,,owner,CONFIRMED,2010,DEM,,1,2400.0
ilitch-chris,,owner,CONFIRMED,2014,REP,,3,5200.0
ilitch-chris,,owner,CONFIRMED,2018,,,1,5000.0
ilitch-chris,,owner,CONFIRMED,2020,,,1,5000.0
ilitch-chris,,owner,CONFIRMED,2022,,,2,10000.0
ilitch-chris,,owner,CONFIRMED,2024,,,2,10000.0
ilitch-chris,,owner,CONFIRMED,2026,,,1,5000.0
johnson-greg,,owner,CONFIRMED,2000,,,1,1000.0
johnson-greg,,owner,CONFIRMED,2002,,,1,1000.0
johnson-greg,,owner,CONFIRMED,2004,,,2,4000.0
johnson-greg,,owner,CONFIRMED,2004,REP,,1,2000.0
johnson-greg,,owner,PROBABLE,2004,,,1,2000.0
johnson-greg,,owner,CONFIRMED,2006,,,2,7000.0
johnson-greg,,owner,CONFIRMED,2006,REP,,1,2000.0
johnson-greg,,owner,CONFIRMED,2008,,,3,12000.0
johnson-greg,,owner,CONFIRMED,2008,DEM,,1,2000.0
johnson-greg,,owner,CONFIRMED,2008,REP,,4,21000.0
johnson-greg,,owner,CONFIRMED,2010,,,4,14000.0
johnson-greg,,owner,CONFIRMED,2010,REP,,6,12700.0
johnson-greg,,owner,CONFIRMED,2012,,,3,60000.0
johnson-greg,,owner,CONFIRMED,2012,REP,,8,59500.0
johnson-greg,,owner,CONFIRMED,2014,,,2,10000.0
johnson-greg,,owner,CONFIRMED,2014,REP,,9,10000.0
johnson-greg,,owner,CONFIRMED,2016,,,4,65000.0
johnson-greg,,owner,CONFIRMED,2016,DEM,,1,1000.0
johnson-greg,,owner,CONFIRMED,2016,REP,,14,64200.0
johnson-greg,,owner,PROBABLE,2016,,,1,7500.0
johnson-greg,,owner,CONFIRMED,2018,,,3,15000.0
johnson-greg,,owner,CONFIRMED,2018,REP,,9,20600.0
johnson-greg,,owner,CONFIRMED,2020,,,1,5000.0
johnson-greg,,owner,CONFIRMED,2020,REP,,5,14000.0
johnson-greg,,owner,PROBABLE,2020,,,1,5600.0
johnson-greg,,owner,CONFIRMED,2022,,,5,22500.0
johnson-greg,,owner,CONFIRMED,2024,,,7,25300.0
johnson-greg,,owner,CONFIRMED,2024,REP,,3,5650.0
johnson-greg,,owner,CONFIRMED,2026,,,3,13000.0
kendrick-ken,,owner,CONFIRMED,2000,,,3,80000.0
kendrick-ken,,owner,CONFIRMED,2000,REP,,3,21000.0
kendrick-ken,,owner,PROBABLE,2000,,,5,8000.0
kendrick-ken,,owner,PROBABLE,2000,REP,,2,2000.0
kendrick-ken,,owner,CONFIRMED,2002,,,6,82900.0
kendrick-ken,,owner,CONFIRMED,2002,REP,,6,6000.0
kendrick-ken,,owner,PROBABLE,2002,,,2,2000.0
kendrick-ken,,owner,PROBABLE,2002,REP,,2,2000.0
kendrick-ken,,owner,CONFIRMED,2004,REP,,14,57000.0
kendrick-ken,,owner,PROBABLE,2004,,,4,259000.0
kendrick-ken,,owner,PROBABLE,2004,REP,,7,29500.0
kendrick-ken,,owner,CONFIRMED,2006,,,3,9500.0
kendrick-ken,,owner,CONFIRMED,2006,REP,,7,47700.0
kendrick-ken,,owner,PROBABLE,2006,REP,,4,26060.0
kendrick-ken,,owner,PROBABLE,2006,Rep,,1,2100.0
kendrick-ken,,owner,CONFIRMED,2008,,,3,37000.0
kendrick-ken,,owner,CONFIRMED,2008,REP,,17,86100.0
kendrick-ken,,owner,PROBABLE,2008,REP,,4,9200.0
kendrick-ken,,owner,CONFIRMED,2010,,,4,9800.0
kendrick-ken,,owner,CONFIRMED,2010,REP,,23,103600.0
kendrick-ken,,owner,PROBABLE,2010,,,2,4800.0
kendrick-ken,,owner,CONFIRMED,2012,,,2,5000.0
kendrick-ken,,owner,CONFIRMED,2012,REP,,23,118300.0
kendrick-ken,,owner,PROBABLE,2012,,,1,75800.0
kendrick-ken,,owner,PROBABLE,2012,REP,,2,5000.0
kendrick-ken,,owner,CONFIRMED,2014,,,9,23100.0
kendrick-ken,,owner,CONFIRMED,2014,DEM,,1,2600.0
kendrick-ken,,owner,CONFIRMED,2014,REP,,35,90500.0
kendrick-ken,,owner,PROBABLE,2014,,,1,100000.0
kendrick-ken,,owner,PROBABLE,2014,REP,,1,2600.0
kendrick-ken,,owner,CONFIRMED,2016,,,17,771300.0
kendrick-ken,,owner,CONFIRMED,2016,REP,,57,153100.0
kendrick-ken,,owner,PROBABLE,2016,,,2,52700.0
kendrick-ken,,owner,PROBABLE,2016,REP,,3,5400.0
kendrick-ken,,owner,CONFIRMED,2018,,,7,35500.0
kendrick-ken,,owner,CONFIRMED,2018,REP,,53,128600.0
kendrick-ken,,owner,PROBABLE,2018,,,2,7700.0
kendrick-ken,,owner,PROBABLE,2018,REP,,9,19700.0
kendrick-ken,,owner,CONFIRMED,2020,,,19,374000.0
kendrick-ken,,owner,CONFIRMED,2020,REP,,139,493701.0
kendrick-ken,,owner,PROBABLE,2020,,,1,5000.0
kendrick-ken,,owner,PROBABLE,2020,REP,,1,9900.0
kendrick-ken,,owner,CONFIRMED,2022,,,16,402900.0
kendrick-ken,,owner,CONFIRMED,2022,REP,,74,226800.0
kendrick-ken,,owner,PROBABLE,2022,REP,,6,8500.0
kendrick-ken,,owner,CONFIRMED,2024,,,14,247100.0
kendrick-ken,,owner,CONFIRMED,2024,REP,,63,194699.99
kendrick-ken,,owner,PROBABLE,2024,,,1,5000.0
kendrick-ken,,owner,PROBABLE,2024,REP,,5,11600.0
kendrick-ken,,owner,CONFIRMED,2026,,,4,19500.0
kendrick-ken,,owner,CONFIRMED,2026,REP,,18,59300.0
lerner-mark,,owner,CONFIRMED,2000,REP,,1,500.0
lerner-mark,,owner,CONFIRMED,2002,,,1,250.0
lerner-mark,,owner,CONFIRMED,2002,DEM,,2,2000.0
lerner-mark,,owner,PROBABLE,2002,DEM,,1,250.0
lerner-mark,,owner,CONFIRMED,2004,DEM,,2,2500.0
lerner-mark,,owner,CONFIRMED,2004,REP,,3,2000.0
lerner-mark,,owner,CONFIRMED,2006,REP,,3,3125.0
lerner-mark,,owner,CONFIRMED,2008,,,4,7050.0
lerner-mark,,owner,CONFIRMED,2008,DEM,,1,1000.0
lerner-mark,,owner,CONFIRMED,2008,REP,,1,1250.0
lerner-mark,,owner,CONFIRMED,2010,,,2,5000.0
lerner-mark,,owner,CONFIRMED,2010,DEM,,5,3000.0
lerner-mark,,owner,PROBABLE,2010,DEM,,1,312.5
lerner-mark,,owner,CONFIRMED,2012,,,2,5000.0
lerner-mark,,owner,CONFIRMED,2012,DEM,,3,1900.0
lerner-mark,,owner,PROBABLE,2012,DEM,,1,1250.0
lerner-mark,,owner,CONFIRMED,2014,,,2,5000.0
lerner-mark,,owner,CONFIRMED,2014,DEM,,2,1000.0
lerner-mark,,owner,CONFIRMED,2014,REP,,1,250.0
lerner-mark,,owner,CONFIRMED,2016,,,4,5712.5
lerner-mark,,owner,CONFIRMED,2016,DEM,,4,1750.0
lerner-mark,,owner,CONFIRMED,2018,,,2,5000.0
lerner-mark,,owner,CONFIRMED,2018,DEM,,2,1000.0
lerner-mark,,owner,CONFIRMED,2018,REP,,1,1250.0
lerner-mark,,owner,CONFIRMED,2020,,,1,2500.0
lerner-mark,,owner,CONFIRMED,2020,DEM,,2,1000.0
lerner-mark,,owner,CONFIRMED,2020,REP,,1,250.0
lerner-mark,,owner,CONFIRMED,2022,,,3,3750.0
lerner-mark,,owner,CONFIRMED,2022,DEM,,4,2700.0
lerner-mark,,owner,CONFIRMED,2024,,,1,2500.0
lerner-mark,,owner,CONFIRMED,2024,DEM,,4,2200.0
lerner-mark,,owner,PROBABLE,2024,,,2,1750.0
lerner-mark,,owner,PROBABLE,2024,DEM,,3,3875.0
lerner-mark,,owner,PROBABLE,2024,REP,,1,1250.0
lerner-mark,,owner,CONFIRMED,2026,,,2,3100.0
lerner-mark,,owner,CONFIRMED,2026,DEM,,2,1200.0
lerner-mark,,owner,PROBABLE,2026,DEM,,1,750.0
malone-john,,owner,CONFIRMED,2004,REP,,2,2000.0
malone-john,,owner,CONFIRMED,2006,REP,,1,1000.0
malone-john,,owner,CONFIRMED,2008,,,6,87000.0
malone-john,,owner,CONFIRMED,2008,DEM,,1,1000.0
malone-john,,owner,CONFIRMED,2008,REP,,11,72450.0
malone-john,,owner,CONFIRMED,2010,,,2,6000.0
malone-john,,owner,CONFIRMED,2010,REP,,7,42200.0
malone-john,,owner,CONFIRMED,2012,,,3,165800.0
malone-john,,owner,CONFIRMED,2012,REP,,12,88300.0
malone-john,,owner,CONFIRMED,2014,,,2,10000.0
malone-john,,owner,CONFIRMED,2014,REP,,14,35600.0
malone-john,,owner,CONFIRMED,2016,,,17,115650.0
malone-john,,owner,CONFIRMED,2016,DEM,,1,2700.0
malone-john,,owner,CONFIRMED,2016,REP,,10,27900.0
malone-john,,owner,CONFIRMED,2018,,,1,50.0
malone-john,,owner,CONFIRMED,2018,REP,,1,2700.0
malone-john,,owner,CONFIRMED,2020,,,2,505000.0
malone-john,,owner,CONFIRMED,2022,,,1,5000.0
malone-john,,owner,CONFIRMED,2022,REP,,4,87100.0
malone-john,,owner,CONFIRMED,2024,REP,,1,3300.0
malone-john,,owner,CONFIRMED,2026,,,2,10000.0
mcguirk-terry,,owner,CONFIRMED,2000,,,2,1500.0
mcguirk-terry,,owner,CONFIRMED,2002,,,4,7000.0
mcguirk-terry,,owner,CONFIRMED,2002,REP,,1,1000.0
